This is Ipopt version 3.14.16, running with linear solver MUMPS 5.6.2.

Number of nonzeros in equality constraint Jacobian...:     1567
Number of nonzeros in inequality constraint Jacobian.:     6735
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     1268
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     1266
                     variables with only upper bounds:        0
Total number of equality constraints.................:      704
Total number of inequality constraints...............:      648
        inequality constraints with only lower bounds:       51
   inequality constraints with lower and upper bounds:      597
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  6.6823515e-03 1.46e-02 1.95e+03  -0.7 1.06e+00    -  1.00e+00 1.00e+00w  1
 141  6.6849491e-03 1.49e-02 2.10e+03  -0.7 1.11e+00    -  1.00e+00 1.00e+00w  1
 142  6.6853978e-03 1.57e-02 2.31e+03  -0.7 1.22e+00    -  1.00e+00 1.00e+00w  1
 143  6.6794910e-03 1.33e-03 1.96e+05  -0.7 1.28e+00    -  1.00e+00 3.12e-02h  5
 144  6.6795741e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
 145  6.6796565e-03 1.33e-03 1.96e+05  -0.7 1.06e+00    -  1.00e+00 3.12e-02h  6
 146  6.6797381e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 147  6.6798190e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 148  6.6798991e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 149  6.6799783e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  6.6800567e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 151  6.6801343e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 152  6.6802109e-03 1.33e-03 1.96e+05  -0.7 1.07e+00    -  1.00e+00 3.12e-02h  6
 153  6.6828963e-03 1.46e-02 1.99e+03  -0.7 1.07e+00    -  1.00e+00 1.00e+00w  1
 154  6.6850407e-03 1.50e-02 2.15e+03  -0.7 1.11e+00    -  1.00e+00 1.00e+00w  1
 155  6.6849011e-03 1.49e-02 1.52e+04  -0.7 1.27e+00    -  1.00e+00 9.25e-01w  1
 156  6.6802867e-03 1.33e-03 1.96e+05  -0.7 1.20e+00    -  1.00e+00 3.12e-02h  5
